timestamp,front_distance_cm,rear_distance_cm,pitch,roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,floor_fl,floor_fr,floor_bl,floor_br,state,previous_state,current_speed,consecutive_obstacles,consecutive_floor_dangers,stuck_counter,action,action_steps,action_speed,tilt_magnitude,floor_danger_count
1773693473.7967303,25.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693473.8969536,27.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693473.9971359,29.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693474.0972962,31.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693474.1974864,33.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693474.2976458,35.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693474.3977957,37.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693474.4979563,39.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693474.5981143,41.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693474.6982856,43.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693474.7989464,45.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693474.899091,47.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693474.9992418,49.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693475.0993927,51.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693475.1995506,53.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693475.299703,55.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693475.3998501,57.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693475.5000117,59.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693475.600163,61.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693475.7003086,63.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693475.800887,65.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693475.901033,67.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693476.0011737,69.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693476.1013541,71.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773693476.2015133,73.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
