timestamp,front_distance_cm,rear_distance_cm,pitch,roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,floor_fl,floor_fr,floor_bl,floor_br,state,previous_state,current_speed,consecutive_obstacles,consecutive_floor_dangers,stuck_counter,action,action_steps,action_speed,tilt_magnitude,floor_danger_count
1773692180.065713,25.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692180.1659229,27.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692180.2661397,29.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692180.3663833,31.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692180.466683,33.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692180.566933,35.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692180.6671686,37.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692180.767409,39.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692180.8676407,41.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692180.9678915,43.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692181.0692403,45.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692181.169527,47.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692181.2697785,49.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692181.3700294,51.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692181.4702523,53.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692181.5704749,55.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692181.6706905,57.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692181.7708986,59.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692181.8711326,61.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
1773692181.9714267,63.5,999.0,1.5,-0.8,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,exploring,exploring,70,0,0,0,forward,1,70,1.7,0
